,Genero,Aposentado,Casado,Dependentes,MesesComoCliente,ServicoTelefone,MultiplasLinhas,ServicoInternet,ServicoSegurancaOnline,ServicoBackupOnline,ProtecaoEquipamento,ServicoSuporteTecnico,ServicoStreamingTV,ServicoFilmes,TipoContrato,FaturaDigital,FormaPagamento,ValorMensal,TotalGasto,Churn
1361,Masculino,0,Nao,Nao,7,Sim,Sim,Fibra,Nao,Nao,Nao,Nao,Sim,Sim,Mensal,Sim,BoletoEletronico,93.85,635.6,Sim
1362,Masculino,0,Sim,Nao,14,Sim,Nao,DSL,Nao,Nao,Nao,Nao,Nao,Nao,Anual,Nao,BoletoEletronico,44.6,641.25,Nao
1363,Masculino,0,Sim,Nao,18,Sim,Sim,Fibra,Sim,Nao,Nao,Nao,Sim,Sim,Mensal,Sim,BoletoEletronico,99.4,1742.95,Sim
1364,Masculino,0,Nao,Nao,27,Sim,Sim,Fibra,Nao,Nao,Sim,Nao,Nao,Nao,Mensal,Sim,BoletoEletronico,81.3,2272.8,Nao
1365,Feminino,0,Sim,Sim,66,Sim,Nao,DSL,Sim,Nao,Nao,Nao,Sim,Nao,2 anos,Sim,BoletoEletronico,59.75,3996.8,Nao
1366,Feminino,0,Sim,Nao,43,Sim,Sim,DSL,Sim,Sim,Nao,Sim,Sim,Sim,2 anos,Nao,CartaoCredito,86.45,3574.5,Nao
1367,Masculino,0,Sim,Nao,69,Sim,Sim,Fibra,Sim,Sim,Sim,Sim,Sim,Sim,2 anos,Sim,DebitoAutomatico,112.55,7806.5,Nao
1368,Masculino,0,Sim,Nao,71,Sim,Sim,Fibra,Nao,Sim,Sim,Nao,Nao,Sim,Mensal,Sim,DebitoAutomatico,93.25,6669.45,Nao
1369,Feminino,1,Nao,Nao,50,Sim,Sim,Fibra,Sim,Sim,Nao,Nao,Nao,Nao,Mensal,Sim,BoletoEletronico,83.4,4113.7,Nao
1370,Masculino,0,Nao,Nao,51,Sim,Nao,Nao,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,Anual,Nao,BoletoEletronico,19.1,1007.8,Nao
1371,Masculino,0,Sim,Nao,27,Sim,Sim,DSL,Sim,Nao,Nao,Sim,Sim,Sim,Anual,Nao,BoletoImpresso,80.85,2204.35,Nao
1372,Masculino,0,Sim,Sim,70,Sim,Nao,Nao,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,2 anos,Nao,CartaoCredito,20.05,1360.25,Nao
1373,Feminino,1,Nao,Nao,2,Sim,Nao,Fibra,Nao,Nao,Nao,Nao,Nao,Sim,Mensal,Sim,BoletoEletronico,79.6,195.05,Sim
1374,Feminino,0,Nao,Nao,6,Sim,Nao,DSL,Nao,Nao,Nao,Sim,Nao,Nao,Mensal,Sim,DebitoAutomatico,49.65,267.35,Sim
1375,Feminino,0,Sim,Nao,59,Sim,Sim,Fibra,Nao,Sim,Nao,Nao,Sim,Sim,Mensal,Nao,BoletoEletronico,101.1,6039.9,Sim
1376,Masculino,1,Sim,Nao,10,Sim,Nao,Fibra,Nao,Sim,Sim,Sim,Sim,Nao,Mensal,Sim,BoletoImpresso,92.5,934.1,Sim
1377,Masculino,1,Sim,Nao,29,Sim,Sim,Fibra,Nao,Nao,Sim,Nao,Sim,Sim,Mensal,Sim,BoletoEletronico,98.5,3004.15,Sim
1378,Masculino,0,Nao,Nao,5,Sim,Nao,Nao,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,Mensal,Nao,BoletoImpresso,20.35,92.75,Nao
1379,Feminino,1,Nao,Nao,21,Sim,Sim,Fibra,Nao,Nao,Nao,Nao,Sim,Sim,Mensal,Sim,BoletoEletronico,94.25,1973.75,Sim
1380,Feminino,0,Sim,Nao,62,Sim,Nao,Fibra,Sim,Nao,Sim,Sim,Sim,Sim,Anual,Sim,BoletoEletronico,104.3,6613.65,Nao
1381,Masculino,0,Sim,Sim,36,Sim,Nao,Nao,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,2 anos,Nao,CartaoCredito,19.45,754.5,Nao
1382,Masculino,0,Nao,Nao,3,Sim,Nao,Nao,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,Mensal,Nao,BoletoImpresso,19.85,64.55,Sim
1383,Feminino,0,Sim,Nao,69,Sim,Sim,Fibra,Sim,Sim,Sim,Sim,Sim,Sim,2 anos,Sim,BoletoEletronico,116.0,8182.85,Nao
1384,Feminino,0,Nao,Nao,2,Nao,SemTelefone,DSL,Nao,Nao,Nao,Sim,Nao,Nao,Mensal,Sim,BoletoEletronico,30.9,59.05,Sim
1385,Feminino,0,Sim,Nao,8,Sim,Sim,Fibra,Nao,Nao,Nao,Nao,Nao,Sim,Mensal,Sim,CartaoCredito,85.2,627.4,Sim
1386,Feminino,1,Sim,Nao,3,Nao,SemTelefone,DSL,Nao,Sim,Nao,Nao,Nao,Nao,Mensal,Sim,BoletoEletronico,30.75,82.85,Nao
1387,Masculino,0,Nao,Nao,1,Sim,Nao,DSL,Nao,Nao,Nao,Nao,Nao,Nao,Mensal,Nao,BoletoEletronico,45.75,45.75,Sim
1388,Feminino,0,Nao,Nao,12,Sim,Nao,Fibra,Sim,Nao,Nao,Sim,Sim,Sim,Mensal,Sim,DebitoAutomatico,98.9,1120.95,Sim
1389,Masculino,0,Nao,Nao,18,Sim,Sim,Fibra,Nao,Nao,Nao,Nao,Nao,Nao,Mensal,Sim,DebitoAutomatico,75.6,1395.05,Nao
1390,Feminino,0,Nao,Nao,20,Nao,SemTelefone,DSL,Nao,Nao,Nao,Nao,Nao,Nao,Mensal,Nao,CartaoCredito,24.9,505.95,Nao
1391,Masculino,0,Nao,Nao,22,Sim,Sim,DSL,Sim,Sim,Nao,Nao,Nao,Nao,Mensal,Nao,BoletoEletronico,59.0,1254.7,Sim
1392,Feminino,0,Nao,Sim,5,Sim,Nao,DSL,Nao,Nao,Nao,Nao,Nao,Nao,Mensal,Nao,BoletoImpresso,46.0,221.7,Sim
1393,Feminino,0,Nao,Nao,24,Sim,Sim,Nao,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,2 anos,Nao,CartaoCredito,25.15,553,Nao
1394,Masculino,0,Sim,Sim,64,Sim,Nao,DSL,Sim,Nao,Sim,Sim,Sim,Nao,2 anos,Nao,BoletoImpresso,69.25,4447.75,Nao
1395,Masculino,0,Nao,Nao,26,Sim,Nao,Fibra,Nao,Nao,Sim,Sim,Sim,Sim,Mensal,Sim,BoletoEletronico,98.65,2537,Nao
1396,Masculino,1,Sim,Nao,68,Sim,Sim,Fibra,Nao,Sim,Sim,Nao,Sim,Sim,Mensal,Sim,BoletoEletronico,105.3,7299.65,Sim
1397,Feminino,0,Nao,Nao,60,Sim,Nao,Nao,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,2 anos,Nao,BoletoImpresso,20.6,1093,Nao
1398,Masculino,0,Sim,Sim,25,Sim,Sim,DSL,Nao,Nao,Nao,Sim,Nao,Nao,Anual,Sim,BoletoImpresso,55.1,1466.1,Nao
1399,Feminino,0,Sim,Nao,51,Sim,Sim,Nao,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,2 anos,Nao,BoletoImpresso,25.5,1281.25,Nao
1400,Feminino,0,Sim,Nao,7,Sim,Nao,DSL,Sim,Nao,Sim,Sim,Sim,Sim,Mensal,Nao,DebitoAutomatico,81.25,580.1,Nao
1401,Masculino,0,Nao,Sim,39,Sim,Nao,Nao,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,Anual,Nao,DebitoAutomatico,19.35,779.2,Nao
1402,Feminino,0,Sim,Sim,72,Sim,Nao,DSL,Sim,Nao,Sim,Sim,Sim,Sim,2 anos,Sim,DebitoAutomatico,80.45,5886.85,Nao
1403,Feminino,0,Sim,Nao,27,Sim,Sim,Fibra,Nao,Nao,Nao,Nao,Sim,Sim,Mensal,Nao,CartaoCredito,95.0,2462.55,Nao
1404,Masculino,0,Sim,Sim,56,Sim,Nao,Fibra,Nao,Sim,Sim,Sim,Nao,Nao,Anual,Sim,BoletoImpresso,85.85,4793.8,Nao
1405,Feminino,0,Sim,Nao,57,Sim,Nao,Nao,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,2 anos,Sim,DebitoAutomatico,19.6,1134.25,Nao
1406,Masculino,0,Nao,Nao,17,Sim,Sim,Fibra,Sim,Sim,Sim,Sim,Sim,Nao,Mensal,Sim,DebitoAutomatico,106.65,1672.1,Nao
1407,Feminino,0,Nao,Nao,1,Sim,Nao,DSL,Nao,Nao,Nao,Nao,Nao,Sim,Mensal,Sim,BoletoEletronico,56.25,56.25,Sim
1408,Masculino,0,Sim,Sim,35,Sim,Nao,Nao,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,2 anos,Nao,BoletoImpresso,19.6,686.95,Nao
1409,Masculino,0,Sim,Sim,13,Sim,Sim,DSL,Nao,Sim,Sim,Sim,Sim,Nao,Mensal,Sim,BoletoEletronico,72.8,930.05,Nao
1410,Feminino,0,Sim,Sim,69,Sim,Nao,Nao,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,2 anos,Nao,DebitoAutomatico,19.75,1375.4,Nao
1411,Feminino,0,Sim,Sim,1,Sim,Nao,Nao,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,Mensal,Nao,BoletoEletronico,19.25,19.25,Nao
1412,Masculino,0,Nao,Nao,7,Sim,Nao,Fibra,Nao,Nao,Sim,Nao,Nao,Nao,Mensal,Nao,BoletoImpresso,74.65,544.55,Sim
1413,Feminino,1,Sim,Nao,72,Sim,Sim,Fibra,Sim,Sim,Sim,Sim,Sim,Sim,2 anos,Sim,CartaoCredito,116.75,8277.05,Nao
1414,Masculino,0,Nao,Nao,3,Sim,Nao,Fibra,Nao,Nao,Sim,Sim,Sim,Sim,Mensal,Sim,BoletoEletronico,98.7,293.65,Sim
1415,Masculino,0,Nao,Nao,53,Sim,Nao,DSL,Nao,Nao,Sim,Nao,Nao,Sim,Anual,Sim,BoletoEletronico,61.1,3357.9,Nao
1416,Masculino,0,Nao,Sim,38,Sim,Sim,Fibra,Nao,Sim,Nao,Nao,Nao,Nao,Mensal,Sim,BoletoImpresso,81.85,3141.7,Nao
1417,Feminino,0,Nao,Nao,4,Sim,Sim,Fibra,Nao,Sim,Nao,Nao,Nao,Nao,Mensal,Sim,BoletoImpresso,80.3,324.2,Nao
1418,Feminino,0,Nao,Nao,62,Sim,Sim,DSL,Nao,Sim,Sim,Sim,Sim,Sim,2 anos,Nao,DebitoAutomatico,84.5,5193.2,Nao
1419,Masculino,0,Nao,Nao,1,Sim,Nao,DSL,Nao,Nao,Nao,Sim,Nao,Nao,Mensal,Nao,BoletoImpresso,49.05,49.05,Nao
1420,Feminino,0,Nao,Nao,46,Sim,Sim,Fibra,Sim,Sim,Nao,Nao,Nao,Nao,Mensal,Nao,BoletoImpresso,84.25,3847.6,Nao
1421,Masculino,0,Nao,Nao,19,Sim,Sim,DSL,Nao,Nao,Sim,Sim,Nao,Nao,Mensal,Nao,BoletoEletronico,59.55,1144.6,Nao
1422,Feminino,0,Nao,Nao,72,Sim,Sim,DSL,Sim,Sim,Sim,Sim,Sim,Sim,2 anos,Sim,DebitoAutomatico,91.35,6697.2,Nao
1423,Masculino,0,Sim,Sim,38,Sim,Sim,Nao,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,2 anos,Nao,CartaoCredito,25.05,963.95,Nao
1424,Masculino,0,Sim,Nao,71,Sim,Sim,Fibra,Nao,Sim,Sim,Nao,Sim,Sim,Anual,Sim,DebitoAutomatico,105.7,7472.15,Nao
1425,Feminino,0,Sim,Nao,16,Sim,Sim,Fibra,Nao,Sim,Nao,Nao,Sim,Sim,Mensal,Sim,BoletoEletronico,100.0,1534.75,Sim
1426,Feminino,1,Sim,Nao,66,Sim,Sim,Fibra,Nao,Nao,Sim,Sim,Sim,Sim,Anual,Sim,CartaoCredito,105.95,6975.25,Sim
1427,Feminino,1,Nao,Nao,11,Sim,Nao,Fibra,Nao,Sim,Nao,Nao,Sim,Sim,Mensal,Sim,BoletoEletronico,95.0,1120.3,Sim
1428,Masculino,0,Sim,Sim,66,Sim,Sim,DSL,Sim,Nao,Sim,Sim,Sim,Sim,2 anos,Sim,BoletoImpresso,84.0,5714.25,Nao
1429,Masculino,0,Nao,Nao,28,Sim,Nao,Fibra,Nao,Nao,Sim,Sim,Nao,Sim,Mensal,Nao,BoletoEletronico,91.0,2626.15,Nao
1430,Feminino,0,Nao,Nao,1,Nao,SemTelefone,DSL,Nao,Nao,Nao,Nao,Nao,Sim,Mensal,Nao,BoletoImpresso,35.05,35.05,Sim
1431,Feminino,0,Sim,Sim,72,Sim,Nao,Fibra,Sim,Sim,Sim,Sim,Sim,Sim,2 anos,Sim,CartaoCredito,109.5,7854.9,Nao
1432,Feminino,0,Sim,Sim,18,Sim,Nao,Nao,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,2 anos,Nao,BoletoImpresso,19.35,309.25,Nao
1433,Feminino,0,Sim,Nao,49,Sim,Nao,Nao,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,Anual,Nao,CartaoCredito,19.0,918.7,Nao
1434,Feminino,1,Nao,Nao,41,Sim,Sim,Fibra,Nao,Sim,Sim,Nao,Sim,Sim,Mensal,Sim,BoletoEletronico,104.4,4133.95,Nao
1435,Masculino,0,Nao,Sim,1,Sim,Nao,Fibra,Nao,Nao,Nao,Nao,Nao,Nao,Mensal,Sim,BoletoImpresso,70.45,70.45,Sim
1436,Masculino,1,Sim,Nao,27,Sim,Sim,Fibra,Nao,Nao,Nao,Nao,Nao,Nao,Mensal,Sim,BoletoEletronico,75.5,1893.95,Sim
1437,Masculino,0,Nao,Nao,5,Sim,Nao,Nao,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,Mensal,Nao,DebitoAutomatico,20.65,93.55,Nao
1438,Masculino,0,Nao,Nao,43,Nao,SemTelefone,DSL,Sim,Nao,Sim,Nao,Nao,Nao,Anual,Sim,CartaoCredito,35.2,1463.7,Nao
1439,Masculino,0,Nao,Sim,47,Sim,Nao,DSL,Sim,Sim,Nao,Nao,Nao,Nao,Mensal,Sim,BoletoEletronico,55.3,2654.05,Nao
1440,Feminino,0,Nao,Nao,1,Sim,Nao,DSL,Sim,Nao,Nao,Nao,Nao,Nao,Mensal,Nao,DebitoAutomatico,49.55,49.55,Nao
1441,Feminino,0,Nao,Nao,15,Sim,Nao,DSL,Nao,Nao,Sim,Nao,Nao,Sim,Mensal,Sim,BoletoEletronico,59.45,892.65,Sim
1442,Feminino,0,Nao,Sim,7,Sim,Nao,Fibra,Nao,Nao,Nao,Nao,Nao,Nao,Mensal,Sim,BoletoEletronico,71.05,472.65,Nao
1443,Masculino,0,Nao,Nao,14,Sim,Nao,Nao,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,Mensal,Nao,CartaoCredito,19.6,300.4,Nao
1444,Feminino,0,Sim,Nao,43,Sim,Sim,Fibra,Nao,Sim,Nao,Nao,Nao,Nao,Mensal,Nao,BoletoEletronico,80.45,3398.9,Nao
1445,Masculino,0,Sim,Nao,29,Sim,Sim,Fibra,Sim,Sim,Nao,Nao,Nao,Nao,Mensal,Sim,BoletoEletronico,84.45,2467.1,Sim
1446,Feminino,0,Sim,Nao,46,Sim,Sim,Nao,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,Anual,Sim,DebitoAutomatico,24.45,1066.15,Nao
1447,Feminino,0,Nao,Nao,24,Sim,Nao,DSL,Nao,Nao,Sim,Nao,Nao,Nao,Mensal,Sim,CartaoCredito,49.3,1233.25,Nao
1448,Masculino,0,Sim,Sim,51,Nao,SemTelefone,DSL,Sim,Sim,Sim,Nao,Sim,Sim,Anual,Nao,BoletoEletronico,59.3,3014.65,Sim
1449,Masculino,0,Sim,Sim,70,Nao,SemTelefone,DSL,Nao,Sim,Sim,Sim,Sim,Sim,Anual,Nao,BoletoEletronico,60.35,4138.7,Nao
1450,Feminino,0,Sim,Nao,12,Sim,Nao,DSL,Nao,Nao,Nao,Nao,Nao,Nao,Mensal,Nao,DebitoAutomatico,45.9,505.95,Nao
1451,Masculino,0,Nao,Nao,3,Sim,Nao,Nao,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,Mensal,Sim,BoletoImpresso,19.65,68.35,Nao
1452,Feminino,1,Nao,Nao,9,Sim,Sim,Fibra,Nao,Nao,Nao,Nao,Nao,Sim,Mensal,Sim,BoletoEletronico,84.45,762.5,Sim
1453,Feminino,0,Nao,Nao,15,Sim,Nao,DSL,Sim,Sim,Sim,Sim,Sim,Sim,Mensal,Nao,BoletoImpresso,84.45,1287.85,Nao
1454,Feminino,0,Sim,Sim,72,Sim,Sim,Nao,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,2 anos,Nao,CartaoCredito,24.25,1784.5,Nao
1455,Feminino,0,Nao,Sim,4,Sim,Nao,Nao,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,Anual,Sim,BoletoImpresso,20.4,84.75,Nao
1456,Feminino,0,Sim,Nao,72,Sim,Sim,Fibra,Sim,Sim,Sim,Sim,Sim,Nao,2 anos,Sim,DebitoAutomatico,103.95,7556.9,Nao
1457,Masculino,0,Nao,Nao,10,Sim,Nao,Nao,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,Anual,Nao,BoletoImpresso,20.35,176.3,Nao
1458,Feminino,1,Nao,Nao,5,Nao,SemTelefone,DSL,Nao,Sim,Nao,Nao,Nao,Nao,Mensal,Nao,BoletoEletronico,28.45,131.05,Sim
1459,Masculino,0,Sim,Nao,8,Sim,Sim,Fibra,Nao,Nao,Nao,Nao,Nao,Sim,Mensal,Sim,DebitoAutomatico,85.65,659.45,Nao
1460,Feminino,1,Nao,Nao,26,Sim,Nao,Fibra,Nao,Nao,Nao,Nao,Sim,Sim,Mensal,Sim,BoletoEletronico,91.25,2351.8,Sim
1461,Feminino,0,Sim,Nao,68,Sim,Sim,DSL,Sim,Sim,Sim,Sim,Nao,Nao,2 anos,Nao,CartaoCredito,70.9,4911.35,Nao
1462,Masculino,0,Sim,Sim,2,Sim,Nao,Nao,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,Anual,Nao,BoletoImpresso,20.2,34.75,Nao
1463,Masculino,1,Nao,Nao,8,Sim,Nao,Fibra,Nao,Sim,Nao,Nao,Nao,Nao,Mensal,Sim,BoletoEletronico,74.5,606.55,Sim
1464,Feminino,0,Nao,Nao,3,Sim,Nao,Nao,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,Mensal,Nao,BoletoImpresso,19.85,57.2,Nao
1465,Masculino,0,Nao,Nao,13,Sim,Sim,Fibra,Sim,Nao,Nao,Nao,Sim,Sim,Mensal,Nao,BoletoImpresso,98.15,1230.25,Sim
1466,Masculino,1,Nao,Nao,34,Sim,Nao,Fibra,Nao,Nao,Nao,Nao,Nao,Nao,Mensal,Nao,CartaoCredito,69.15,2275.1,Nao
1467,Feminino,0,Sim,Sim,72,Nao,SemTelefone,DSL,Sim,Sim,Sim,Sim,Sim,Sim,2 anos,Nao,DebitoAutomatico,65.7,4575.35,Nao
1468,Masculino,0,Nao,Nao,21,Nao,SemTelefone,DSL,Sim,Nao,Nao,Sim,Sim,Nao,Mensal,Sim,BoletoImpresso,43.55,1011.5,Nao
1469,Feminino,0,Sim,Sim,40,Sim,Sim,Fibra,Nao,Nao,Sim,Sim,Nao,Nao,Mensal,Sim,BoletoEletronico,84.85,3303.05,Sim
1470,Masculino,0,Nao,Nao,16,Nao,SemTelefone,DSL,Sim,Sim,Sim,Sim,Sim,Nao,2 anos,Nao,BoletoImpresso,54.85,916.15,Nao
1471,Feminino,0,Nao,Nao,26,Sim,Nao,DSL,Nao,Sim,Sim,Nao,Nao,Nao,Anual,Sim,BoletoImpresso,56.05,1553.2,Nao
1472,Masculino,0,Sim,Nao,49,Sim,Sim,Fibra,Nao,Sim,Nao,Nao,Sim,Sim,Mensal,Sim,DebitoAutomatico,99.05,4853.75,Sim
1473,Masculino,0,Nao,Nao,46,Sim,Nao,Nao,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,2 anos,Nao,CartaoCredito,19.2,908.15,Nao
1474,Masculino,0,Sim,Sim,11,Sim,Nao,Fibra,Nao,Nao,Nao,Nao,Sim,Nao,Mensal,Sim,DebitoAutomatico,79.5,868.5,Sim
1475,Masculino,0,Sim,Nao,72,Sim,Nao,DSL,Sim,Sim,Sim,Sim,Sim,Sim,2 anos,Nao,BoletoImpresso,84.45,6033.1,Nao
1476,Masculino,0,Nao,Nao,47,Sim,Nao,Nao,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,2 anos,Nao,DebitoAutomatico,20.45,943,Nao
1477,Masculino,0,Nao,Sim,1,Sim,Nao,Nao,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,Mensal,Nao,BoletoImpresso,19.25,19.25,Sim
1478,Feminino,1,Nao,Nao,59,Sim,Sim,Fibra,Sim,Sim,Sim,Nao,Nao,Nao,Mensal,Sim,BoletoEletronico,89.75,5496.9,Nao
1479,Feminino,0,Sim,Nao,71,Sim,Sim,DSL,Sim,Sim,Sim,Sim,Sim,Sim,2 anos,Nao,DebitoAutomatico,87.95,6365.35,Nao
1480,Feminino,0,Sim,Sim,25,Sim,Nao,Nao,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,Anual,Nao,BoletoImpresso,20.05,520.1,Nao
1481,Masculino,0,Sim,Sim,72,Sim,Sim,Fibra,Sim,Sim,Nao,Sim,Sim,Sim,2 anos,Sim,CartaoCredito,107.7,7919.8,Nao
1482,Masculino,0,Nao,Nao,2,Sim,Nao,Nao,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,Mensal,Nao,BoletoImpresso,20.0,32.7,Nao
1483,Feminino,0,Sim,Nao,35,Sim,Nao,DSL,Sim,Nao,Nao,Nao,Sim,Nao,Anual,Sim,DebitoAutomatico,62.15,2215.45,Nao
1484,Masculino,0,Sim,Sim,71,Sim,Nao,Fibra,Sim,Sim,Sim,Nao,Sim,Sim,Anual,Sim,DebitoAutomatico,104.65,7288.4,Nao
1485,Feminino,1,Sim,Nao,15,Sim,Nao,Fibra,Nao,Sim,Nao,Nao,Sim,Sim,Mensal,Sim,BoletoEletronico,94.65,1285.05,Nao
1486,Feminino,0,Nao,Nao,2,Sim,Nao,Nao,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,Anual,Nao,BoletoImpresso,20.45,34.8,Nao
1487,Feminino,0,Sim,Nao,26,Sim,Sim,Fibra,Nao,Sim,Nao,Nao,Nao,Nao,Mensal,Nao,DebitoAutomatico,79.3,2015.8,Nao
1488,Feminino,1,Sim,Sim,3,Sim,Nao,Fibra,Sim,Nao,Nao,Sim,Sim,Nao,Mensal,Sim,BoletoImpresso,88.3,273.75,Sim
1489,Masculino,1,Sim,Nao,49,Sim,Nao,DSL,Nao,Sim,Nao,Nao,Nao,Nao,2 anos,Nao,BoletoImpresso,49.8,2398.4,Nao
1490,Masculino,0,Sim,Sim,27,Sim,Sim,Fibra,Nao,Nao,Nao,Nao,Nao,Nao,Mensal,Sim,DebitoAutomatico,75.75,1929,Nao
1491,Masculino,0,Nao,Nao,3,Sim,Nao,DSL,Nao,Nao,Nao,Sim,Nao,Nao,Mensal,Sim,BoletoImpresso,50.5,147.75,Nao
1492,Feminino,0,Sim,Sim,45,Nao,SemTelefone,DSL,Nao,Sim,Sim,Sim,Nao,Sim,Anual,Nao,DebitoAutomatico,51.0,2264.5,Nao
1493,Masculino,0,Nao,Nao,37,Sim,Sim,Fibra,Nao,Sim,Nao,Sim,Sim,Sim,Anual,Sim,CartaoCredito,104.5,3778,Nao
1494,Feminino,0,Sim,Sim,72,Sim,Sim,Fibra,Sim,Sim,Sim,Sim,Sim,Sim,2 anos,Sim,DebitoAutomatico,116.85,8477.7,Nao
1495,Feminino,0,Nao,Nao,62,Sim,Sim,Fibra,Sim,Sim,Sim,Nao,Nao,Nao,Anual,Sim,BoletoEletronico,92.05,5755.8,Nao
1496,Feminino,0,Sim,Sim,54,Sim,Sim,DSL,Nao,Sim,Sim,Nao,Nao,Nao,2 anos,Sim,DebitoAutomatico,59.8,3246.45,Nao
1497,Masculino,0,Sim,Sim,15,Sim,Nao,Fibra,Sim,Nao,Nao,Sim,Sim,Sim,Anual,Nao,BoletoEletronico,101.9,1667.25,Nao
1498,Masculino,0,Nao,Nao,1,Sim,Nao,Nao,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,Mensal,Nao,DebitoAutomatico,20.05,20.05,Sim
1499,Feminino,1,Nao,Nao,1,Nao,SemTelefone,DSL,Nao,Nao,Nao,Nao,Nao,Nao,Mensal,Sim,BoletoEletronico,25.2,25.2,Sim
1500,Masculino,0,Nao,Nao,72,Nao,SemTelefone,DSL,Sim,Nao,Sim,Sim,Sim,Sim,2 anos,Sim,CartaoCredito,61.2,4390.25,Nao
1501,Feminino,0,Nao,Nao,30,Sim,Sim,DSL,Sim,Nao,Sim,Nao,Sim,Sim,Anual,Sim,CartaoCredito,79.3,2427.1,Nao
1502,Feminino,0,Sim,Nao,40,Sim,Sim,Fibra,Nao,Nao,Nao,Sim,Nao,Nao,Mensal,Sim,CartaoCredito,78.85,3126.85,Nao
1503,Feminino,0,Sim,Sim,71,Sim,Sim,DSL,Sim,Sim,Sim,Sim,Nao,Nao,2 anos,Nao,BoletoImpresso,71.1,5224.95,Nao
1504,Masculino,0,Nao,Nao,18,Nao,SemTelefone,DSL,Nao,Sim,Sim,Nao,Nao,Nao,Mensal,Sim,CartaoCredito,33.5,600,Sim
1505,Masculino,0,Nao,Nao,17,Nao,SemTelefone,DSL,Nao,Nao,Nao,Nao,Nao,Nao,Mensal,Nao,CartaoCredito,25.1,382.8,Nao
1506,Feminino,0,Nao,Nao,40,Sim,Nao,Nao,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,2 anos,Nao,BoletoImpresso,20.15,804.85,Nao
1507,Feminino,1,Sim,Nao,72,Sim,Sim,Fibra,Nao,Sim,Sim,Sim,Sim,Sim,2 anos,Sim,CartaoCredito,110.8,7882.25,Nao
1508,Masculino,0,Nao,Nao,2,Sim,Nao,Nao,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,Mensal,Nao,BoletoImpresso,19.75,39.3,Nao
1509,Masculino,0,Nao,Nao,53,Sim,Sim,Nao,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,Anual,Nao,DebitoAutomatico,24.05,1301.9,Nao
1510,Masculino,0,Sim,Nao,71,Sim,Sim,Fibra,Sim,Sim,Sim,Sim,Sim,Sim,2 anos,Sim,BoletoEletronico,116.25,8564.75,Nao
1511,Feminino,0,Sim,Nao,20,Sim,Nao,Fibra,Sim,Sim,Nao,Sim,Sim,Nao,Mensal,Sim,BoletoEletronico,96.55,1901.65,Nao
1512,Masculino,0,Nao,Nao,7,Sim,Nao,DSL,Nao,Nao,Nao,Nao,Sim,Nao,Mensal,Nao,BoletoImpresso,54.85,370.4,Nao
1513,Feminino,0,Nao,Nao,15,Sim,Sim,Fibra,Sim,Nao,Sim,Nao,Nao,Nao,Mensal,Sim,CartaoCredito,84.35,1302.65,Nao
